time,id,minDonated,numBackers,isLimited,maxBackers,soldOut,pledged
1370009768196,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34020
1370010368251,898cf2693a97fd34718b0e0224d8ca53,10,441,FALSE,undefined,undefined,34020
1370010368251,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,34020
1370010368251,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34020
1370010968398,898cf2693a97fd34718b0e0224d8ca53,10,441,FALSE,undefined,undefined,34020
1370010968398,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,34020
1370010968398,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34020
1370011568441,898cf2693a97fd34718b0e0224d8ca53,10,442,FALSE,undefined,undefined,34030
1370011568441,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,34030
1370011568441,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34030
1370012168125,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,34040
1370012168125,898cf2693a97fd34718b0e0224d8ca53,10,443,FALSE,undefined,undefined,34040
1370012168125,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34040
1370012768275,898cf2693a97fd34718b0e0224d8ca53,10,443,FALSE,undefined,undefined,34040
1370012768275,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,34040
1370012768275,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34040
1370013368735,898cf2693a97fd34718b0e0224d8ca53,10,443,FALSE,undefined,undefined,34040
1370013368735,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34040
1370013368735,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,34040
1370013970255,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,34040
1370013970255,898cf2693a97fd34718b0e0224d8ca53,10,443,FALSE,undefined,undefined,34040
1370013970255,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34040
1370014568276,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,34050
1370014568276,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34050
1370014568276,898cf2693a97fd34718b0e0224d8ca53,10,444,FALSE,undefined,undefined,34050
1370015168645,898cf2693a97fd34718b0e0224d8ca53,10,444,FALSE,undefined,undefined,34050
1370015168645,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,34050
1370015168645,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34050
1370015768367,898cf2693a97fd34718b0e0224d8ca53,10,444,FALSE,undefined,undefined,34050
1370015768367,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,34050
1370015768367,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34050
1370016368689,898cf2693a97fd34718b0e0224d8ca53,10,444,FALSE,undefined,undefined,34050
1370016368689,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,34050
1370016368689,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34050
1370016968011,898cf2693a97fd34718b0e0224d8ca53,10,444,FALSE,undefined,undefined,34050
1370016968011,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,34050
1370016968011,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34050
1370017568669,898cf2693a97fd34718b0e0224d8ca53,10,444,FALSE,undefined,undefined,34050
1370017568669,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34050
1370017568669,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,34050
1370018168108,898cf2693a97fd34718b0e0224d8ca53,10,444,FALSE,undefined,undefined,34050
1370018168108,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,34050
1370018168108,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34050
1370018767983,898cf2693a97fd34718b0e0224d8ca53,10,444,FALSE,undefined,undefined,34050
1370018767983,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,34050
1370018767983,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34050
1370019368747,898cf2693a97fd34718b0e0224d8ca53,10,444,FALSE,undefined,undefined,34050
1370019368747,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,34050
1370019368747,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34050
1370019968404,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34050
1370019968404,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,34050
1370019968404,898cf2693a97fd34718b0e0224d8ca53,10,444,FALSE,undefined,undefined,34050
1370020568451,898cf2693a97fd34718b0e0224d8ca53,10,444,FALSE,undefined,undefined,34050
1370020568451,fd7f844eccada29d5a441e3707ed8f8c,35,181,FALSE,undefined,undefined,34050
1370020568451,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34050
1370021168344,898cf2693a97fd34718b0e0224d8ca53,10,444,FALSE,undefined,undefined,34085
1370021168344,fd7f844eccada29d5a441e3707ed8f8c,35,182,FALSE,undefined,undefined,34085
1370021168344,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34085
1370021768044,898cf2693a97fd34718b0e0224d8ca53,10,444,FALSE,undefined,undefined,34085
1370021768044,fd7f844eccada29d5a441e3707ed8f8c,35,182,FALSE,undefined,undefined,34085
1370021768044,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34085
1370022368657,fd7f844eccada29d5a441e3707ed8f8c,35,182,FALSE,undefined,undefined,34085
1370022368657,898cf2693a97fd34718b0e0224d8ca53,10,444,FALSE,undefined,undefined,34085
1370022368657,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34085
1370022968130,898cf2693a97fd34718b0e0224d8ca53,10,444,FALSE,undefined,undefined,34085
1370022968130,fd7f844eccada29d5a441e3707ed8f8c,35,182,FALSE,undefined,undefined,34085
1370022968130,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34085
1370023567966,898cf2693a97fd34718b0e0224d8ca53,10,444,FALSE,undefined,undefined,34120
1370023567966,2da7f432a075de5888539fa81a5d722d,95,245,FALSE,undefined,undefined,34120
1370023567966,fd7f844eccada29d5a441e3707ed8f8c,35,183,FALSE,undefined,undefined,34120
1370024167948,898cf2693a97fd34718b0e0224d8ca53,10,444,FALSE,undefined,undefined,34120
